用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
叫我一个坏人,就在刚刚，女朋友跟我说了今天下午发生在她小侄子身上的危机状况，让我一瞬间很是揪心，我也为她的临危不乱感到敬佩，同时为她能做出这么临危不乱的表现而感动甚至心疼。“我以前从来不知道自己多能撑，直到今天我才发现，我比任何人都要冷静，后来时候我也会不自觉的后怕流泪，但是当时我真的没有崩溃无错，什么时候开始我真的不是一个孩子了，我越来越是他们的主心骨。下午孩子突然抽搐，那种翻白眼，身体发凉，牙关紧闭，为了防止他咬伤舌头，我把指头放进他嘴里，两根手指都已经缺血肿了，我打了120，不知道自己哪有勇气临时不乱，还好孩子没有事情。”我一想到在孩子出事时她一边用手指撑着孩子的嘴一边打120的场景，眼里就会涌出泪来，我小小的女朋友在平时都是多么可爱娇小的形象，但是在那种情况下，在孩子的奶奶可能都有惊慌失措的时候能够保持冷静丝毫不慌乱，处理好这种关乎孩子生命的紧急状况。我自问就算是我可能都会被吓到而不知所措。女朋友甚至还有些自责，说是如果不是自己非要回家一趟，她妈妈也不会因为张罗着做饭而忽略了照看孩子。我安慰她说这种事根本就不怪她，孩子突然发病这么紧急，是谁都不愿意看到的，女朋友回家，本来是件挺好的事情，妈妈肯定也想她了，给她做点好吃的，不能因此而就觉得孩子得病怪她。不管怎么说，她也做的很好，及时给孩子做了保护措施。孩子没事，就是最大最大的万幸。直到现在，我还在感慨并且敬佩女友的遇事不慌乱，并且感到深深地愧疚。因为我想到我和她的相处。我记得我们刚一开始交往时，她还是很腻歪人的那一种，我感觉就是因为我这么长时间惹她生气，跟她闹，才让她这么一点一点越来越成熟，越来越能够沉得住气，越来越稳重。感觉这都是本来应该是一个男孩子该做出的成长，但是全部被女友给领去了。真的突然觉得特别特别愧疚。我也不知道该怎么安慰她，就只好不停地跟她说没事就好，没事就好。真的，发生了这样一桩事，感觉对她，也会留下很深刻的印象，不知道会不会给她留下阴影。我只希望我的小女朋友还能和原来一样乐观，和原来一样开心快乐。希望我以后，能更懂事一点，能更体谅她一点，能够由我来照顾她而不是她照顾我。希望小宝宝能够好好的。希望我们都能好好的。收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年12月15日 23:02
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/6324687635/IkW6OvTEH?refer_flag=1001030103_
俊俊你可真是我的傻俊俊,#张大大抑郁症#他有次综艺（忘了啥），他牵着一女明星，比女明星哭的还激动……确实让人反感，但有些人，你们也不至于这么咒别人吧，你们又没得抑郁症，你咋知道得病的会不会说出来，说不定他就是察觉到了初期，希望有人鼓励他拉他回来啊​,会不会得病,0,,,,,  ,4,4,"
                        2019年12月15日 22:34
                        ",努比亚Z17 无边双摄,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/5818073414/IkVVtdGz2?refer_flag=1001030103_
我先唔薯,我这样下去会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  ,1, ,"
                        2019年12月15日 21:08
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/2476564841/IkVmq9j0E?refer_flag=1001030103_
隐蔽老清新,第九集哭得好娘好隐忍，不知道她演这场戏的时候会不会想到自己得病那会儿，受不了，本人大气，角色大度​,会不会得病,0,,,,,  , , ,"
                        2019年12月15日 19:32
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/2407212887/IkUJwl1tW?refer_flag=1001030103_
姜小小小桃,爸，好累啊�！这周妈妈体检身体，乳房查出有4a的肿瘤，医生说恶性的可能性很大，我几天没有睡好！我在想，你才走，我花了这么大力气生了轩轩，看到轩轩还小，家里琐事繁多，如果妈妈有得病，我真是要崩溃了。不过还好，检查出是良性，前天做了手术，好多了！但是，爸爸，妈妈2个月不能抱轩轩，1个月不能有大幅的活动。现在我不得不什么都是自己做！自己买菜，做饭，洗完，管轩轩，喂奶，洗衣服，还要照顾妈妈！我的天，好累啊！我真是觉得我的身体已经不属于自己，我感觉再这么下去会不会累死啊！收起全文d,会不会得病,1,自己,健康,健康保险,疲劳,  , , ,"
                        2019年12月15日 19:23
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/5523582407/IkUFW9F8r?refer_flag=1001030103_
用户7313970470,�含化学加工成分的一次性餐具会致癌大家都知道�但是很多人却忽略了塑料表层的卫生巾同样致癌❗️不要亲身试验会不会得病你的健康，由你自己守护����​,会不会得病,0,,,,,  , , ,"
                        2019年12月15日 15:26
                        ",vivo X27,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/7313970470/IkT7zA4Gs?refer_flag=1001030103_
Star四哒,我身边有三个有心理疾病在吃药调节的人所以一般听到娱乐圈里谁谁得抑郁症的消息我第一反应就是相信每当看到别人各种猜测“会不会是因为不想被骂”“就是用来挡枪”“做这个行业就要承受这些”难过无力悲伤没有人想得病没有人想抑郁持着怀疑态度去看这些事这些人是不是对他们也太不公平了明星也是普通人他们承受了太多恶意宁可信其有不可信其无啊收起全文d,会不会得病,0,,,,,  ,2,3,"
                        2019年12月15日 14:16
                        ",管我要不要Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=7,https://weibo.com/6620013545/IkSFehzqF?refer_flag=1001030103_
rebornfrom201904,//@桂A糖先森:评论区是社会歧视艾滋病的真实写照。贴标签、人身攻击，自己因为概率优势没有得病，却要在道德高点上指责其他人恶俗。一个拒绝病人的护士因为没有应有的知识和职业素养离职了，众人却说是病人的问题，换作她是消防员怕死不去救火，众人会不会说被困火场的人活该你邻居家着火？,会不会得病,0,,,,,1, , ,2019年12月13日 19:29,iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=8,https://weibo.com/1734530730/IkBRpg30K?refer_flag=1001030103_
上打,会不会得病啊？我一直都不敢用冷水洗澡就是因为有同学冷水洗澡得肾炎了，,会不会得病,1,自己,健康,健康保险,担忧,  , , ,2019年12月14日 16:26,微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=8,https://weibo.com/2656274875/IkK5JCmWu?refer_flag=1001030103_
你是我的小吃鲸,我会不会抑郁呢，我会不会得病呢，我会不会冲动到想去死呢，我会不会是多余的呢我真是个十万个为什么​,会不会得病,1,自己,健康,健康保险,担忧,  ,1,1,"
                        2019年12月13日 20:42
                        ",前后2000万 OPPO R11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=8,https://weibo.com/7323664861/IkCkYtU3P?refer_flag=1001030103_
大牦牛成人之美,为什么每次我过度兴奋，我就会全身发软，会不会得病了​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年12月13日 14:59
                        ",OPPO超视野全面屏R15,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=8,https://weibo.com/6625454396/IkA5RmzkX?refer_flag=1001030103_
御姐控的听起风了,我免费围观了@成都下水道的回答，问题价值198.00元，快来一起免费围观~O微博问答​,会不会得病,0,,,,,  , , ,"
                        2019年12月13日 07:50
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=8,https://weibo.com/6531073286/IkxhKqOU0?refer_flag=1001030103_
陈汉三莫,有时候说过的很多话我也不知道能不能实现，就像我今天和我朋友说，我们都要一直好好地到老啊，但是我其实是没有底的，我不知道中途会不会有什么意外，我会不会出了什么问题，会不会得病，我其实都无法保证，但是我还是说了，大概是一个美丽的期待吧。。。。​,会不会得病,1,自己,意外,意外保险,担忧,  , ,1,"
                        2019年12月12日 23:48
                        ",前后2000万 OPPO R11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/1103292745/Iku7Sgi0a?refer_flag=1001030103_
追客_缘,说到担心这个词，还有焦虑…跟亲爱的讲讲我的事我有时候突然也会乱想，比如担心家人路上开车骑车不安全。。还有，我没敢说过我记得是夏天里，好像是4月份吧，达令那时候在家，花园里的花开的正好，我就想达令会不会在园子里干活的时候门没关好之类的？我非常担心�会跑出去跑丢，然后达令肯定找的伤心欲绝那时候也不知怎么突然就有这种担心，一天多，饭也吃不好，但我又觉得达令肯定比我知道，我想到的达令肯定也想到…,会不会得病,1,亲人,意外,意外保险,担忧,  , , ,"
                        2019年12月12日 21:29
                        ",麦芒 8,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/3284772457/IktdED6M7?refer_flag=1001030103_
巨大莲,愿望总是延后实现早先想要一了百了脖子上长了颗痣都盼着它赶紧癌变现在好不容易生活好起来了却无时不刻活在担心我会不会得病了的无妄之灾当中还是不要轻易许愿的好​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年12月12日 10:01
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/5953767484/IkoIt1NyF?refer_flag=1001030103_
K·土·Y,总是失眠也太难受了天天三四点还睡不着早上七点多爬起来上课我会不会得病啊我想好好的睡个觉睡个没有顾虑什么都不用思考的觉​,会不会得病,1,自己,健康,健康保险,担忧,  ,2,1,"
                        2019年12月12日 02:51
                        ",荣耀10 AI变色更潮美,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/6037116565/IklU0xfAF?refer_flag=1001030103_
OoOoOo哦o噢Oo喔,每天变得会生很多闷气到无从发泄，不知道时间久了会不会得病？​,会不会得病,1,自己,健康,健康保险,生闷气,  ,1, ,"
                        2019年12月10日 21:15
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/2729010643/IkagU1Te7?refer_flag=1001030103_
挨打小魔王,每天三点四点才能睡着我真的心太累了不知道长久这样下去会不会得病​,会不会得病,1,自己,健康,健康保险,作息不规律,  , , ,"
                        2019年12月10日 13:47
                        ",iPhone,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/2149978071/Ik7l6b3zx?refer_flag=1001030103_
不卦科子,大脑已经避免去想一件事了，我这样会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年12月09日 19:55
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=9,https://weibo.com/5385921408/Ik0k3kD5j?refer_flag=1001030103_
迷音俊凯,对不起，我得病啦宝宝，抑郁加焦虑，很棒的组合吧，以后可能不会像以前一样了，真的对不起你，你这么优秀，而我却是这样，以前从来没想过会得这种病，现在我好害怕，以后会不会就离开了呢，这样想着@TFBOYS-王俊凯​,会不会得病,1,自己,健康,健康保险,严重抑郁,  , ,1,"
                        2019年12月08日 22:01
                        ",OPPO随光而变R17,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/6472971832/IjRIFE48l?refer_flag=1001030103_
我拿几个煎饼,#利刃出鞘#看完之后，感觉是悬疑里面悬念制造还不错的，但是有点把人物形象过于脸谱化了，当两个药瓶出错的时候就在想会不会没注射错………中间有想过甚至是哈兰导演的这个过程，想把他的生命结尾也当作一部小说绝笔，比如他得病之类的，因为直到弗兰带走女主之后，就有预感90%是这个了，如果结局能再有个反转，是女主因为知道自己没有注射错，但是利用弗兰，最后将计就计的导演的，那样的话可能电影就没有真善美了，估计会禁止上映吧收起全文d,会不会得病,0,,,,,  , ,2,"
                        2019年12月08日 17:56
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=10,https://weibo.com/2230633284/IjQ73inEz?refer_flag=1001030103_
