用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
月色小仙仙,"
                    一夜没睡看完了聊天记录，剪了这个视频，删了跟他的所有聊天记录。 L月色小仙仙的微博视频 ​                ",  , 12, 5,"
                        今天06:41
                        ",网恋圈钱买iPhone 7 Plus,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/2908130111/IwQrJowvk?refer_flag=1001030103_
粒粒在莯,"
                    #知乎崩了#最近这件事在网上闹得沸沸扬扬 我都怀疑我是不是断网了 居然一点都不知道在网上搜索了一阵子了解到了事情大概 这次事件 因为某个作者 写同人文 唯粉们 觉得有侮辱他们偶像的内容 于是很生气 开始了矛盾 事情慢慢的恶化 据我了解 大概是这样子了 前两天我还不知道这几个事情 这事件 真的看着很难受 我一边拿着手机了解这件事情 我一夜没睡 前几天我想去老福特看 同人但是我搜索不到我想要搜索的东西了 当时很莫名其妙去了空间 又看见有人发肖战工作室的声明然后现在第一时间听到这件事情 又晚上睡不着 在这里一直研究心里就很乱七八糟的以后会有什么影响  真的因为很多矛盾发生很多悲剧 很遗憾 我真的很难接受那些遗憾 很难受 现在粉丝真的越来越搞怪了 流量明星时代 一直在进步 一直在更新 一发不可收拾还记得cxk粉丝吗【以下主观】据说事情是因为唯粉看见了那篇同人文 那么既然接受不了你家爱豆作为同人文的原型为什么要去看呢在同人圈里CP粉自己快乐不就好了不喜欢的东西 不要把它破坏好吗 追星真的要理智  刚开始的时候 如果偶像做一下调解方明确一点儿毕竟是当事人讲话 事情应该很快就能平息最近很多事情，让我感觉网络要地陷 互联网要爆炸 收起全文d
                ",  , 9, 36,"
                        今天06:40
                        ",全屏双摄 OPPO A5,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/6460436249/IwQrneVFk?refer_flag=1001030103_
隼迦箬Lucifer,"
                    睁着眼睛一夜没睡，头要炸了，每天到凌晨一两点就突然清醒了艹 ​                ",  , , 1,"
                        今天06:39
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/5028174800/IwQrfyyB5?refer_flag=1001030103_
喜欢崔小笨de范大树,"
                    一夜没睡，毫无困意。 ​                ",  , , 1,"
                        今天06:38
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/3129363937/IwQqCimcN?refer_flag=1001030103_
悲觀-生物學,"
                    讲真，我一夜没睡，还很精神我家猫是不是只能纵向发展不能横向啊 ​                ",  , , ,"
                        今天06:32
                        ",微博国际版,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/1941816102/IwQokpLOj?refer_flag=1001030103_
呆鱼ccs,"
                    如果问我父爱是什么我会想起很多个出发去天津的早晨我爸给我装上一切能路上吃的默默的开着车一路送我到安检还会想起那个悄悄买火车票回来的暑假原本下午三点到的火车遇到南方暴雨到达时间一直说待定我爸一夜没睡等到第二天早上十点才接上我还有，今天这个五点半的早上我还在感叹可以换我送送去出差的老爸我也操心的给他装上水果他说我没睡醒他开去机场我开回来结果刚出小区他就追上一个出租车直接拎走行李让我开回家了速度快到我来不及反驳只听到出租车司机问他怎么开着车打车他说太早了怕姑娘自己开不回来可是。我明明开了大半年的车了我以为一个人在家会像以前一样习惯现在却觉得真的好孤单 收起全文d
                ",  , , 2,"
                        今天06:30
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/3937507631/IwQnAEx2N?refer_flag=1001030103_
阿丽噶豆,"
                    太难了 一夜了 没睡。哎 ​                ",  , , ,"
                        今天06:30
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=3,https://weibo.com/5464294385/IwQniC7gg?refer_flag=1001030103_
huahua_lan,"
                    一夜没睡，头疼得厉害！折磨自己是为什么？ ​                ",  , 1, ,"
                        今天06:28
                        ",Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/1196562557/IwQmqyiCE?refer_flag=1001030103_
是肖兔叽赞呀,"
                    这一夜没睡 从黑暗一直看到了天亮 ​                ",  , , ,"
                        今天06:26
                        ",肖夫人的iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5532652526/IwQlH5vnJ?refer_flag=1001030103_
请叫我驴小毛,"
                    又一夜没睡连着当了好几天路灯了怎么回事 ​                ",  , , ,"
                        今天06:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/3229594704/IwQjZxOj1?refer_flag=1001030103_
麋鹿KaKa,"
                    一夜没睡……天终于亮了 ，都怪自己太傻，又把心门打开了，才会又受伤 ​                ",  , , 1,"
                        今天06:21
                        ",iPhone 6,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/1903221234/IwQjMesf2?refer_flag=1001030103_
夏天蛐蛐两三只,"
                    老头老太出门复工了 我一夜没睡 很怕很怕路上意外 ​                ",  , , 1,"
                        今天06:21
                        ",iPhone 6s,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/3081772927/IwQjFaM8J?refer_flag=1001030103_
去见我的星星了,"
                    又一夜没睡，听到外面有鸟叫的声音。一夜了，就是因为看到了一部爽文，年轻人啊，就是喜欢作践自己的身体，不管了，我不爽，当然要干点爽事才行 ​                ",  , , ,"
                        今天06:19
                        ",vivo 全新水滴屏手机,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5863397716/IwQiZtFRc?refer_flag=1001030103_
楊十伍_,"
                    素日里的小杨都是很清闲的 特别的自由自在 (几乎天天幌个膀子上白班)可是 由于疫情原因我从昨天开始被安排上了                     24小时班！！(虽说可以值休)但是 小杨真的好不适应一夜没睡现在是早上6点 真的 我感觉我都不是我了 ​                ",  , 1, ,"
                        今天06:19
                        ",vivo X23全息幻彩,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/6262657616/IwQiMdImc?refer_flag=1001030103_
飞上蓝天的钱多多,"
                    早知道会这么难受昨天就该去医院的拖到一夜没睡，还要死了一样，何苦呢 ​                ",  , , ,"
                        今天06:18
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/2011284957/IwQiF6JKX?refer_flag=1001030103_
港子与狗,"
                    一夜没睡天都亮了…… ​                ",  , , ,"
                        今天06:18
                        ",iPhone 8 Plus,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/2312820830/IwQiAFu9Q?refer_flag=1001030103_
缱绻回声,"
                    一夜没睡，听到外面响起扫落叶的声音熬过通宵的日子一只手都算的过来，今天加一 ​                ",  , , 1,"
                        今天06:15
                        ",OnePlus 7T Pro,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/2652066432/IwQhcpXiW?refer_flag=1001030103_
一笑堂678,"
                    #最穷的一次经历#一夜没睡，想打人 ​                ",  , , 1,"
                        今天06:13
                        ",华为P9手机摄影再突破,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/6087629366/IwQgshbI0?refer_flag=1001030103_
可不可以少吃点喂,"
                    八点不到睡着了，大概睡了仨小时样子导致我一夜没睡这大概就是我为什么黑眼圈顽固的原因了吃个饭然后补觉去了，晚上见 ​                ",  , , ,"
                        今天06:08
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5984936514/IwQeAceHt?refer_flag=1001030103_
净宁清欢,"
                    前楼的两户也是一夜没睡 2青岛 ​                ",  , , 1,"
                        今天06:06
                        ",HUAWEI P20,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5572395352/IwQdSst9v?refer_flag=1001030103_
吃火锅了吗,"
                    疯了猫发情了 叫了一夜一晚上没睡 我快困死了 ​                ",  , , ,"
                        今天06:06
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5510652278/IwQdPulfl?refer_flag=1001030103_
wutongfighting,"
                    狂改论文，一夜没睡，清晨5点半，老爸给我煮了面条端来给我吃，吃完，休息一下，继续战斗 ​                ",  , , 1,"
                        今天06:06
                        ",nova4自拍极点全面屏,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/5900825319/IwQdKaqdF?refer_flag=1001030103_
Xilynnnn,"
                    啊啊啊又是姨妈折腾的一夜没睡！ ​                ",  , 1, ,"
                        今天06:06
                        ",,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/1925380110/IwQdFsVhW?refer_flag=1001030103_
蓝花楹之蓝,"
                    2020年是第一次听见早起的鸟儿吧我竟然一夜没睡还如此清醒 ​                ",  , , ,"
                        今天05:57
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/1009088854/IwQa8rrkd?refer_flag=1001030103_
草莓汁好甜啊,"
                    一夜没睡反复刷微博 ​                ",  , , ,"
                        今天05:52
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/6407181253/IwQ88mbh4?refer_flag=1001030103_
ZhI-Z-h-I,"
                    别人假装努力我假装睡觉嗯又是紧闭双眼、一秒也没睡的一夜过去了猫宁 ​                ",  , , ,"
                        今天05:51
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/3118538995/IwQ7FpR29?refer_flag=1001030103_
一颗西瓜味儿的西瓜,"
                    玄彬也太帅了吧！帅的我一夜没睡！他怎么这么帅啊，心痛捶地！ ​                ",  , , ,"
                        今天05:49
                        ",,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=4,https://weibo.com/2739102897/IwQ6Owem9?refer_flag=1001030103_
要一起上厕所嘛,"
                    我他妈一夜没睡输的根本睡不着从钻石掉铂金（来来回回这样）我不配玩 2淮南·寿县 ​                ",  , 1, ,"
                        今天05:47
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/3807611026/IwQ5PlqtT?refer_flag=1001030103_
贤小贤儿,"
                    我是多久没喝奶茶，今晚买了一杯，搞得我一夜没睡，还有该死的蚊子一直在我耳边嗡嗡嗡的，咬了我好几个包了 ​                ",  , , ,"
                        今天05:41
                        ",Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/5648961527/IwQ3Kc5Rj?refer_flag=1001030103_
假装有个大马甲,"
                    2020年计划没有列什么计划，去年下半年不太好，家庭也变的更加不好，很多问题让人想要自杀，性格越来越自闭，不知道自己要什么，重新定位一下吧。一夜没睡，思考了很多，去年说要变得自私一些，不再善良，根本没有做到，今年一定要改变，只管好自己，以及只关心那些关心我的朋友。家庭顺其自然。1.过雅思或者托福。2.读完十二本书。3.学会跳一支舞蹈4.对别人说十二次拒绝。5.去一个新的地方。6.掌握好专业知识。7.养成早睡早起的好习惯。8.看一次心理医生。9.每月存下一笔钱。10.以上必须完成，不完成就去死。 收起全文d
                ",  , 1, 1,"
                        今天05:39
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/6450535601/IwQ2TBtPV?refer_flag=1001030103_
粉红怪的少女心,"
                    啊 烦 又又又一夜没睡 感觉要爆炸了负能量爆棚的那种 真的够了 ​​​                ",  , , 1,"
                        今天05:38
                        ",渣歆本歆iPhone 7 Plus,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/1794573917/IwQ29eYtE?refer_flag=1001030103_
耳闻于东,"
                    多事之秋，被闹分手的室友弄得一夜没睡，这货还拿着菜刀失踪了，情爱这种无趣的东西，不懂有啥追求的意义，一个人不好 L耳闻于东的微博视频 ​                ",  , , ,"
                        今天05:37
                        ",小米MIX2S 全面屏,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/5305700477/IwQ21fA8B?refer_flag=1001030103_
ETERNAL_你,"
                    一夜。。没睡 。。。nnd ​                ",  , , ,"
                        今天05:31
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=5,https://weibo.com/2884076044/IwPZGc25A?refer_flag=1001030103_
